target name,target type,right ascension,declination,equinox,bandpass,minimum magnitude,maximum magnitude,visits,observing time,maximum lunar phase
ACT-CL J0019.6+0336,ClG,4.910522204,3.608562616,2000,V,21,21,12,3000,15
ACT-CL J0046.4-3911,ClG,11.60187668,-39.19901271,2000,V,21,21,12,3000,15
ACT-CL J0159.0-3413,ClG,29.75407802,-34.22239879,2000,V,21,21,12,3000,15
ACT-CL J0203.1-2017,ClG,30.79361288,-20.28690512,2000,V,21,21,12,3000,15
ACT-CL J0234.7-5831,ClG,38.67833065,-58.52131568,2000,V,21,21,12,3000,15
ACT-CL J0248.2-0216,ClG,42.05680407,-2.268355968,2000,V,21,21,12,3000,15
ACT-CL J0302.4-1004,ClG,45.6055833,-10.06985276,2000,V,21,21,12,3000,15
ACT-CL J0528.8-3927,ClG,82.21650556,-39.46272287,2000,V,21,21,12,3000,15
ACT-CL J0553.4-3342,ClG,88.35366505,-33.71066584,2000,V,21,21,12,3000,15
ACT-CL J0638.7-5358,ClG,99.69642165,-53.97325564,2000,V,21,21,12,3000,15
ACT-CL J2023.3-5535,ClG,305.8344092,-55.59076949,2000,V,21,21,12,3000,15
ACT-CL J2131.0-4019,ClG,322.7696403,-40.32330159,2000,V,21,21,12,3000,15
